"","business_id","food.pos","food.neg","service.pos","service.neg","ambience.pos","ambience.neg","price.pos","price.neg","misc.pos","misc.neg","review.counts","star","fp","fn","sp","sn","ap","an","pp","pn","mp","mn","response","f.prop","s.prop","a.prop","p.prop","m.prop","adj.pp","adj.sp","adj.fp","adj.ap","adj.mp","norm.fp","norm.sp","norm.ap","norm.pp","norm.mp"
"1","_5XClj4E5VCIsEscbrrPKg",59.5,-16.5,47,-24,20.5,-1,1,-7,5.5,-3,22,4,2.704545455,-0.75,2.136363636,-1.090909091,0.931818182,-0.045454545,0.045454545,-0.318181818,0.25,-0.136363636,TRUE,0.782894736870672,0.661971830929181,0.95348837254516,0.12499999896875,0.647058824138408,0.153377735361912,0.279882478901528,0.725540016097047,0.948403361555214,0.692933859343447,3.31549291621281,1.25649368187707,4.74201680777607,0.766888676809561,3.46466929671724
"2","_AiqOS8io_reYZri1OeP1g",72,-13.5,25,-12,14.75,0,6,-1,12.5,0,19,4,3.789473684,-0.710526316,1.315789474,-0.631578947,0.776315789,0,0.315789474,-0.052631579,0.657894737,0,TRUE,0.842105263111111,0.675675675856099,1,0.857142857142857,1,0.883841152871229,0.292521469009395,0.796323288767192,1,1,3.74992755594034,1.32219703992247,5,4.41920576435615,5
"3","_fe36eepp9tsP5vzvKbdQA",39.75,-9,24,-6.75,9,-4,4.5,-3.5,5.5,-2.5,15,3.5,2.65,-0.6,1.6,-0.45,0.6,-0.266666667,0.3,-0.233333333,0.366666667,-0.166666667,TRUE,0.815384615384615,0.780487804878049,0.69230769204142,0.562500000351563,0.687499999765625,0.61984106616078,0.413715392216144,0.764025981389021,0.668593094778407,0.730309407905219,3.55170178075768,1.95221950701993,3.34296547389204,3.0992053308039,3.65154703952609
"4","_GwVhLhVF_NkEjdcY0TZ8w",47.5,-19,48.5,-17.5,11.75,-6,3.5,-4.5,4.5,-3,21,3,2.261904762,-0.904761905,2.30952381,-0.833333333,0.55952381,-0.285714286,0.166666667,-0.214285714,0.214285714,-0.142857143,FALSE,0.714285714240601,0.734848484966598,0.661971830952589,0.437500000820313,0.59999999944,0.496561262090728,0.354852793654478,0.646978831942848,0.637144608396875,0.648670576981,2.83332109161178,1.64622430045892,3.18572304198438,2.48280631045364,3.243352884905
"5","_HePiPCk9tmgezshWwZGOw",40.75,-24,35,-14.5,19.75,-4,4,-1,23.5,-1,23,4,1.77173913,-1.043478261,1.52173913,-0.630434783,0.858695652,-0.173913043,0.173913043,-0.043478261,1.02173913,-0.043478261,TRUE,0.629343629257226,0.707070706882971,0.831578947725208,0.79999999908,0.959183673335277,0.835325905775396,0.323892813494243,0.554506737233219,0.815741464856169,0.966584084807635,2.26577060073188,1.48527990188074,4.07870732428085,4.17662952887698,4.83292042403817
"6","_MbwP_b3c5ZOCvCRArsyqw",18,-8,30.25,-9.5,6,-2,2,0,4.5,-2,14,2.5,1.285714286,-0.571428571,2.160714286,-0.678571429,0.428571429,-0.142857143,0.142857143,0,0.321428571,-0.142857143,FALSE,0.692307692514793,0.761006289217357,0.75,1,0.692307691810651,1,0.387238736508538,0.622559211923089,0.728991280859173,0.734712632010696,2.68344487897883,1.81458151735819,3.64495640429587,5,3.67356316005348
"7","_mkObKf2FTg4pRcCFZBf4w",51,-51.5,29.5,-30.5,12,-15,3,-7,2,-3,21,1.5,2.428571429,-2.452380952,1.404761905,-1.452380952,0.571428571,-0.714285714,0.142857143,-0.333333333,0.095238095,-0.142857143,FALSE,0.497560975692707,0.491666666774583,0.444444444358025,0.30000000042,0.39999999916,0.352118828958003,0.161044786999744,0.42061205583282,0.417694465281646,0.45072804638663,1.44398763589665,0.63872000267695,2.08847232640823,1.76059414479001,2.25364023193315
"8","_oL8XX8dusHBNYQyDhF4fA",11.25,-1,18.5,-0.5,4,-1,3,0,3,0,11,4.5,1.022727273,-0.090909091,1.681818182,-0.045454545,0.363636364,-0.090909091,0.272727273,0,0.272727273,0,TRUE,0.918367346883799,0.973684210785319,0.8,1,1,1,0.880142418419262,0.891858116068408,0.781971558475954,1,4.33627566778088,4.37692445916606,3.90985779237977,5,5
"9","_ONkRPvpIYdCuj9u6cIPeA",137.25,-152.75,128.625,-113.5,39.75,-39,47.5,-21.5,16.5,-9.5,60,3,2.2875,-2.545833333,2.14375,-1.891666667,0.6625,-0.65,0.791666667,-0.358333333,0.275,-0.158333333,FALSE,0.473275862101605,0.531233866760456,0.504761904761905,0.688405797391304,0.63461538510355,0.736961653713573,0.183615726046018,0.397114248246715,0.477501873057609,0.681311214607036,1.29976907707659,0.756054257781318,2.38750936528805,3.68480826856786,3.40655607303518
"10","_PKXarw3GjlbwbXhjdpUMA",66.5,-14,51,-21,9.25,-7,13,-0.75,7,-3,29,3.5,2.293103448,-0.482758621,1.75862069,-0.724137931,0.318965517,-0.24137931,0.448275862,-0.025862069,0.24137931,-0.103448276,TRUE,0.826086956412098,0.708333333383681,0.569230769395503,0.945454545377851,0.69999999942,0.956486302288997,0.325230892258114,0.776890969750752,0.542301609602439,0.741740286595069,3.6306610655321,1.49223585859605,2.71150804801219,4.78243151144499,3.70870143297534
