"","business_id","norm.fp","norm.sp","norm.ap","norm.pp","norm.mp"
"1","_5XClj4E5VCIsEscbrrPKg",3.31549291621281,1.25649368187707,4.74201680777607,0.766888676809561,3.46466929671724
"2","_AiqOS8io_reYZri1OeP1g",3.74992755594034,1.32219703992247,5,4.41920576435615,5
"3","_fe36eepp9tsP5vzvKbdQA",3.55170178075768,1.95221950701993,3.34296547389204,3.0992053308039,3.65154703952609
"4","_GwVhLhVF_NkEjdcY0TZ8w",2.83332109161178,1.64622430045892,3.18572304198438,2.48280631045364,3.243352884905
"5","_HePiPCk9tmgezshWwZGOw",2.26577060073188,1.48527990188074,4.07870732428085,4.17662952887698,4.83292042403817
"6","_MbwP_b3c5ZOCvCRArsyqw",2.68344487897883,1.81458151735819,3.64495640429587,5,3.67356316005348
"7","_mkObKf2FTg4pRcCFZBf4w",1.44398763589665,0.63872000267695,2.08847232640823,1.76059414479001,2.25364023193315
"8","_oL8XX8dusHBNYQyDhF4fA",4.33627566778088,4.37692445916606,3.90985779237977,5,5
"9","_ONkRPvpIYdCuj9u6cIPeA",1.29976907707659,0.756054257781318,2.38750936528805,3.68480826856786,3.40655607303518
"10","_PKXarw3GjlbwbXhjdpUMA",3.6306610655321,1.49223585859605,2.71150804801219,4.78243151144499,3.70870143297534
"11","_Ss4d4dYzehTmWJGpkqL7w",2.52141343413772,1.02957593563651,3.05606898648127,4.01695972110897,3.49386240816376
"12","_UZR3RZ56PnUO2ZpNba0Kg",1.02147943712894,0.505714712149767,0,2.79556039914089,0
"13","_W1ke2wRSE058_IjH2aARA",4.58887018576215,3.15067067456342,3.05380750415112,3.44684936183434,5
"14","_WYb1KDwRxwWfopKVWMYuQ",4.74780306656849,1.87132057993295,5,3.58609292469721,2.62785718568876
"15","_xAJZOKBMPOe47p1MphB2w",3.09210631976023,1.15210067328065,3.31415368132705,3.91295806863684,3.86682967049852
"16","_xt4ZyvtgY8Xu_O6SpSB5A",3.06995995356766,2.48482831692053,3.38899566093299,4.04450313366987,4.19361346543969
"17","_YoPC6DmYegxbPiKIoAKoA",3.40618889538891,1.77802306748603,3.27163376204353,5,5
"18","_zh_cug7ewvQEHT-uwaw8w",1.51129446384354,0.278573617438716,0,5,0
"19","00I_YBjgZAvd2ggZr3J0cQ",2.80753052175533,1.42381912345756,3.79175626258402,3.88577224488196,5
"20","01l8MH9tBK6GPvJQdMU1gw",4.40227660143999,2.85277444732133,3.60735545120674,3.85889916641061,5
"21","0d_aewXm7wVlaTW8Glzxdw",3.56377909304618,2.20515376754229,4.05927987070384,4.09569494621833,3.21579668989023
"22","0Eqjt54KPklmWTsly9ltyQ",1.05707844197441,0.619730643024826,1.38799839732479,2.79556039914089,0
"23","0gVPTer9PnXRmSjuHt-XgQ",3.08997586108964,2.06386688418963,2.99550913024581,5,4.35648959443244
"24","0-jZq2P4eN7fRdt4Ls1QZQ",1.93784010062924,1.40808143110127,2.56403741221016,4.48270649836427,4.44449195820368
"25","0LA4HKI7ydji1zwnqDbgnw",3.19686345749513,1.88227351934319,3.48511837159816,5,4.05804457603947
"26","0lUhcajLmtq3H4h9xiiabQ",2.00554458741631,0.942375511590272,1.10333725836111,2.16052691921546,5
"27","0M3KCmdY-_xlIu5vEqVq4A",3.81271232931812,1.92667635596819,3.93586172565549,4.08063316176602,3.70870143297534
