"business_id","compliment_count","date","text","user_id"
"5yhUr1Cv21bOL6ZkE5IdCQ",0,"2011-04-20 18:22:02","Order mix plates and share with the team","_iQh8_WAt-FBmjGB_fJQ5w"
"KUqInLEY1y7SkyZyDoGn0Q",0,"2015-05-24 15:41:01","Great for family gatherings. Nice ambiance","3G0J15bNMGEDlR9K_EAFdA"
"Cbvx1IxPniwo_Ybk4CdIBQ",0,"2011-08-16 23:30:45","Cute chinese tea shop with a traditional vibe.","RrLRd9M2Q6iYCNnKMZsdtw"
"fzHBvd0HZm1yB3UIMqZ3bA",0,"2013-09-18 02:45:29","In my opinion the soup dumplings were the least memorable dish I've had during dinner.  Pass.","5gz8szYeYntJMCBtReC8gA"
"Cs8BaiKkyNU6mzxq9nTsmg",0,"2013-02-10 15:04:04","This location delivers.... Everything arrived quickly and hot.","-_2h2cJlBOWAYrfplMU-Cg"
"ikUSTcW7AL4nKsBjx5co0w",0,"2017-04-18 02:31:28","Rice is extra.","LB5ViGU59ww2XRCx803t0w"
"MLVBJjbgk3sLZYyxqBD4XA",0,"2015-09-03 16:50:50","WiFi password is hkmilktea","8GKaOfeN80GuZaG7aALuCg"
"ZqTXN4qh0Ta1Lp8Z3v-dKg",0,"2017-12-11 17:08:13","Closing for a few days as their furnace and heating systems have malfunctioned. Reopening Friday, December 15th.","s_SzQvkDfn18Cquma7DndQ"
"sHIJktNJTTJPOGhzXMI2Fg",0,"2017-10-11 14:38:36","Try to finish the bottle of sauce.","8FuiGfvx5S0_l_lJtDxUyg"
"Qzq-m_TKJ-Iv1BmYLcjlVA",0,"2016-01-25 17:43:42","Really enjoy the food here, especially the shrimp pakora!!!!","3YrMiFD5qh_bATArCR-rEg"
"ze-xCiBLB-QSfNXHiPY5Qw",0,"2014-01-27 03:38:46","$5-6 lunch specials until 3pm (Dishes like ma-po tofu, General Tsao chicken, corn/fish on rice)","UGW-9bbBEB3eP1o6mWD_WA"
"7UCj5fj-aETTn3johW1LRw",0,"2015-01-15 01:55:43","Delivery times have gotten better...","8oJSRi4YUwBI-JZZEOubAw"
"3PhF188adiC8ZutKRP9gyQ",0,"2017-11-18 14:22:21","If your feeling for something more healthy, the herbal jelly is great. Although a little bitter, it's great for you.","fbWhdgqT2FcDtkpsqRj3tg"
"7wgKazvblPECOzBrd6N50Q",0,"2014-06-14 02:36:32","Place can get busy but they turn the tables quick so you don't typically wait long.","mYQmaTeWp87sGnE-rHvIOw"
"jNiZgCwZj4CNw1noxiC8PQ",0,"2015-09-01 16:08:58","The aquarium is fantastic. Very soothing.","G8HAvSPbePYEYl1JA12cnQ"
"lvU7Mu7YU_2Gfw6QvsKqqw",0,"2017-10-09 12:34:23","Debit and cash are acceptable methods at this restaurant.","nyl_1VcRIAyI55bb_scpdw"
"2Q89PhkcyT9uZnQORmqMKg",0,"2014-10-19 00:48:26","So yummy!!","WpGMjLBKUlrjR3jTkNr8uw"
"E0iHvHraTa-t6ka9rYL8uQ",0,"2011-08-05 01:01:55","THIRSTday!","KE3fPgfxEmfsutKxMlssvQ"
"QHZw2L6LV1qmExNJbfhIsQ",0,"2015-01-26 16:32:00","There was a line up on a Monday make sure you go ahead of time","ZXae3RfkH1LnKX0UjXNj3Q"
"XNVUXM8xY-slNbcPAr-w8Q",0,"2016-03-07 17:52:01","Busiest Stall in food court","CxDOIDnH8gp9KXzpBHJYXw"
"I6oxEn1HT41S2GPrDKPPvA",0,"2015-09-28 13:53:39","They dont accept debit","vj2RoqU4nRFG0YLbTG4etw"
