business_id,name,address,city,state,stars,Food,Service,Ambience,Price,Miscellaneous,Avg.Criteria,Avg.Food,Avg.Service,Avg.Ambience,Avg.Price,Avg.Miscellaneous
QXAEGFB4oINsVuTFxEYKFQ,Emerald Chinese Restaurant,30 Eglinton Avenue W,Mississauga,ON,2.5,1.681110496,0.569786251,1.991223882,3.150940062,3.2757719,City,2.841453497,1.570239955,3.25864246,4.024787901,3.664091999
iyPtSR0s6EkvaQFbdJ_jVA,Pearl King,291 King Street W,Toronto,ON,2.5,1.53885619,0.949702257,3.235167108,3.586092925,3.464669297,City,2.735997187,1.558794473,3.248009797,3.847068283,3.859492475
QZ4GFIArBMGolsVi0XHgcA,Golden Flower Cafe,"1 Spadina Road, Suite 11",Richmond Hill,ON,3.5,3.448532785,1.532658448,3.550454221,4.25447416,3.051885531,City,2.829625199,1.639009815,3.232432827,4.067863535,3.856426281
j9YFHVQqxM_qKHIc4nck-A,Wong's Asian Cuisine,2173 Lawrence Avenue  E,Scarborough,ON,4,4.575852573,3.751697277,4.498314031,4.51455216,4.749057684,City,2.78224166,1.556037867,3.18710926,3.811874891,3.718302041
oWEFIvvt_kJCuk2V268XeQ,Summit Garden Chinese,3015 Winston Churchill Boulevard,Mississauga,ON,3,1.539490144,1.100635742,2.600764161,3.677310024,1.884049052,City,2.841453497,1.570239955,3.25864246,4.024787901,3.664091999
dvbcUnKv2awsIxog7dO4vw,Hong Kong Bistro Cafe,472 Dundas Street W,Toronto,ON,4,2.73054064,2.066192006,3.183237595,3.712057013,3.375105538,City,2.735997187,1.558794473,3.248009797,3.847068283,3.859492475
PMsqD6wHCfxdrZkGXIepvA,Mandarin Restaurant - Queensway,1255 The Queensway,Etobicoke,ON,3.5,3.456243159,2.253987476,2.722634346,4.433123237,4.122768986,City,2.7492723,1.840531209,3.009559285,4.04215673,3.990788963
Q62lGVKqoKJ09lZNt2qpfw,Lucky Chinese Restaurant,2650 Lawrence Avenue E,Scarborough,ON,4,3.396197727,2.246913351,4.374514253,4.194339762,4.067869581,City,2.78224166,1.556037867,3.18710926,3.811874891,3.718302041
tEfvf1cznLZUIeTcKKpAIw,KooKoo Chicken,"River Run Shopping Centre, 1525 Bristol Road W, Unit 10",Mississauga,ON,3.5,3.079188628,1.110697332,3.531646508,4.588806364,4.024099599,City,2.841453497,1.570239955,3.25864246,4.024787901,3.664091999
l1DtLtgI2hlGNMBSkk5sXg,Shanghai Palace Restaurant,"5149 Country Hills Boulevard NW, Unit 520",Calgary,AB,3,3.328865799,2.30114397,3.209988912,4.373027057,5,City,2.979626626,1.834114587,3.381726809,4.043791127,3.864409895
yWwIUmeenyAO7nwc7U0U5A,Niwan Rolls King,"3260 Midland Avenue, Unit F101 & 102",Toronto,ON,3,2.569863508,1.097390217,4.123937725,4.080633162,3.106909303,City,2.735997187,1.558794473,3.248009797,3.847068283,3.859492475
xNK43KL8NRnoN9azyyrJ6A,Tangerine Asian Cuisine,6415 Erin Mills Parkway,Mississauga,ON,3.5,4.423823497,1.669072028,4.35273367,5,4.329952741,City,2.841453497,1.570239955,3.25864246,4.024787901,3.664091999
yDJhScdD8cCCYfO4WNb-CQ,C'est Bon,2685 Yonge St,Toronto,ON,3,2.899609302,0.996727832,3.393027618,2.437359598,4.431535361,City,2.735997187,1.558794473,3.248009797,3.847068283,3.859492475
XYIPXJ9parr9FtvvcGI1SA,GB Hand-pulled Noodles,66 Edward Street,Toronto,ON,4,3.606728853,1.593836971,3.493956891,4.25781554,4.211502381,City,2.735997187,1.558794473,3.248009797,3.847068283,3.859492475
6sATfFam9_q9uod0I2aCsg,Wu Tai Vegetarian Restaurant,8425 Woodbine Avenue,Markham,ON,3.5,2.535293424,1.698641444,3.169935596,4.355957884,4.037759831,City,2.691845982,1.446395356,3.133596568,3.875579156,3.614467029
5bDLpVi7ju83v2Yoeq_0Rw,Tuina Toronto,116 Dundas Street W,Toronto,ON,4,1.260889704,1.962754649,1.536194476,4.176629529,3.243352885,City,2.735997187,1.558794473,3.248009797,3.847068283,3.859492475
0lUhcajLmtq3H4h9xiiabQ,M.Gao,1550 Boulevard de Maisonneuve O,Montréal,QC,3.5,2.005544587,0.942375512,1.103337258,2.160526919,5,City,2.946315088,1.679436569,3.312812633,3.884568263,3.703316547
ojXlVfeYKBisI6EJ0UizAA,Canton Chang Fen,3255 Highway 7 E,Markham,ON,3.5,4.373524171,2.798107848,3.891804091,4.551376424,3.243352885,City,2.691845982,1.446395356,3.133596568,3.875579156,3.614467029
KbjdEA6SRrjrwiFBtsD93g,Foodie Boy,"4300 Steeles Avenue E, Suite F28F",Markham,ON,3.5,3.82999567,3.028900364,4.216280839,4.318870755,2.253640232,City,2.691845982,1.446395356,3.133596568,3.875579156,3.614467029
uiShreF9oKvzuqxWWxECAw,Gou Bu Li,"280 W Beaver Creek Rd, Unit 35",Richmond Hill,ON,3,2.561660993,1.312421358,4.097348595,4.080633162,2.98980638,City,2.829625199,1.639009815,3.232432827,4.067863535,3.856426281
gRbbXVCy6P4C7qqJNJH9eA,Ginger Beef Peking House,"10816 MacLeod Trl SE, Suite 252",Calgary,AB,3.5,3.794910712,1.485893483,2.642398252,3.68071453,3.243352885,City,2.979626626,1.834114587,3.381726809,4.043791127,3.864409895
pvo-RRtvw1zBAHRzr8669w,Dumpling Buffet,3320 Midland Avenue,Toronto,ON,3,1.712932851,0.855958108,4.704410478,2.054461672,3.832421441,City,2.735997187,1.558794473,3.248009797,3.847068283,3.859492475
